DateTime,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
12-06-14 0:03,60,2,60:02:00,Mains failure : Start delay,3,FALSE,FALSE,3
12-06-14 0:03,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.8
12-06-14 0:03,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.1
12-06-14 0:07,0,2,0:02,Turbine operational,1,FALSE,FALSE,4.6
12-06-14 0:07,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.3
12-06-14 0:07,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,2.6
12-06-14 0:09,0,1,0:01,Turbine starting,1,FALSE,FALSE,3.7
12-06-14 0:10,0,0,0:00,Turbine in operation,1,FALSE,FALSE,3.6
12-06-14 9:19,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,7.6
12-06-14 9:25,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.6
12-06-14 9:26,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.4
13-06-14 10:11,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1.2
13-06-14 10:42,1,3,1:03,Turbine stopped : Scada System (ENERCON),1,FALSE,FALSE,0
13-06-14 10:57,240,1,240:01:00,Remote control PC : switched off,5,FALSE,FALSE,0
13-06-14 12:45,240,0,240:00:00,Remote control PC : switched on,5,FALSE,FALSE,0
13-06-14 12:45,222,1,222:01:00,Turbine reset : Power failure,6,FALSE,FALSE,6.6
13-06-14 12:45,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,6.7
13-06-14 12:45,220,56,220:56:00,Processor reset : Fan inverter,6,FALSE,FALSE,6.7
13-06-14 12:45,220,33,220:33:00,Processor reset : Power Control,6,FALSE,FALSE,6.7
13-06-14 12:45,62,501,62 : 501,Feeding fault : No zero crossing inverter 1,6,FALSE,FALSE,6.9
13-06-14 12:46,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,5.7
13-06-14 13:09,222,1,222:01:00,Turbine reset : Power failure,6,FALSE,FALSE,2.6
13-06-14 13:09,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,2.8
13-06-14 13:09,220,56,220:56:00,Processor reset : Fan inverter,6,FALSE,FALSE,2.8
13-06-14 13:09,220,33,220:33:00,Processor reset : Power Control,6,FALSE,FALSE,3
13-06-14 13:09,1,1,1:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,3.6
